;Nome;Ano;Tempo;Nota
118;Line of Duty;2012–2021;37 episódios;8,7
119;1883;2021–2022;10 episódios;8,7
120;Top Gear;2002–2022;328 episódios;8,7
121;Monster;2004–2005;75 episódios;8,7
122;The Mandalorian;2019– ;25 episódios;8,6
123;Sarabhai V/S Sarabhai;2004–2017;79 episódios;8,9
124;The Thick of It;2005–2012;24 episódios;8,7
125;Aspirants;2021– ;10 episódios;9,2
126;How to with John Wilson;2020–2023;18 episódios;8,7
127;This Is Us: Histórias de Família;2016–2022;106 episódios;8,7
128;House of Cards;2013–2018;73 episódios;8,6
129;Father Ted;1995–1998;25 episódios;8,7
130;Atlanta;2016–2022;41 episódios;8,6
131;Parks and Recreation;2009–2015;124 episódios;8,6
132;The Crown;2016–2023;60 episódios;8,6
133;Code Geass: Lelouch of the Rebellion;2006–2008;54 episódios;8,7
134;Deadwood: Cidade sem Lei;2004–2006;36 episódios;8,6
135;Arquivo X;1993–2018;217 episódios;8,6
136;Dexter;2006–2013;96 episódios;8,6
137;Primal;2019– ;21 episódios;8,7
138;Ramayan;1987–1988;78 episódios;9,0
139;Hora de Aventura;2010–2018;289 episódios;8,6
140;It's a Sin;2021;5 episódios;8,6
141;The Bridge;2011–2018;38 episódios;8,6
142;Demolidor;2015–2018;39 episódios;8,6
143;The Jinx: A Vida e as Mortes de Robert Durst;2015–2024;12 episódios;8,6
144;Blackadder II;1986;6 episódios;8,6
145;Os Pistoleiros do Oeste;1989;4 episódios;8,7
146;Mindhunter;2017–2019;19 episódios;8,6
147;Haikyu!!;2014–2020;89 episódios;8,7
148;Poirot;1989–2013;70 episódios;8,6
149;The Offer;2022;10 episódios;8,6
150;The Return of Sherlock Holmes;1986–1988;13 episódios;8,7
151;Mr. Bean;1990–1995;15 episódios;8,6
152;Gomorra: La serie;2014–2021;58 episódios;8,6
153;Critical Role;2015– ;412 episódios;9,1
154;Pousando no Amor;2019–2020;19 episódios;8,7
155;Mr Inbetween;2018–2021;26 episódios;8,7
156;Pose;2018–2021;26 episódios;8,6
157;Mystery Science Theater 3000;1988–1999;199 episódios;8,6
158;Blackadder the Third;1987;6 episódios;8,6
159;Archer;2009–2023;144 episódios;8,6
160;Anne com um E;2017–2019;27 episódios;8,6
